borough,neighborhoods,nyc_poverty_rate,median_income,perc_white,perc_black,perc_asian,perc_other,perc_hispanic,indexscore,neighborhood_simple
Bronx,"riverdale, fieldston & kingsbridge",0.152,30437.0,0.324,0.124,0.052,0.023,0.477,5.184720365,"riverdale, fieldston & kingsbridge"
Bronx,"wakefield, williamsbridge & woodlawn",0.232,26136.0,0.069,0.655,0.026,0.023,0.226,4.637372866,"wakefield, williamsbridge & woodlawn"
Bronx,"bedford park, fordham north & norwood",0.264,18674.0,0.066,0.154,0.061,0.022,0.696,0.985036098,"bedford park, fordham north & norwood"
Bronx,"coop city, pelham bay & schuylerville",0.14,31573.0,0.293,0.285,0.03,0.022,0.371,6.575279816,"coop city, pelham bay & schuylerville"
Bronx,"pelham parkway, morris park & laconia",0.205,25358.0,0.218,0.215,0.076,0.022,0.47,4.240034444,"pelham parkway, morris park & laconia"
Manhattan,"hamilton heights, manhattanville & west harlem",0.235,24561.0,0.286,0.215,0.083,0.037,0.379,1.874593734,"hamilton heights, manhattanville & west harlem"
Bronx,"belmont, crotona park east & east tremont",0.308,14213.0,0.045,0.301,0.008,0.011,0.635,2.144953355,"belmont, crotona park east & east tremont"
Bronx,"morris heights, fordham south & mount hope",0.344,15628.0,0.013,0.274,0.015,0.011,0.688,1.538734934,"morris heights, fordham south & mount hope"
Bronx,"concourse, highbridge & mount eden",0.323,16710.0,0.017,0.308,0.017,0.018,0.641,2.512425243,"concourse, highbridge & mount eden"
Manhattan,"murray hill, gramercy & stuyvesant town",0.1,73067.0,0.694,0.032,0.158,0.029,0.087,8.366080442,"murray hill, gramercy & stuyvesant town"
Bronx,"castle hill, clason point & parkchester",0.264,20300.0,0.028,0.288,0.071,0.029,0.584,3.696704143,"castle hill, clason point & parkchester"
Bronx,"hunts point, longwood & melrose",0.293,15510.0,0.016,0.282,0.008,0.012,0.682,2.865710089,"hunts point, longwood & melrose"
Brooklyn,greenpoint & williamsburg,0.173,35889.0,0.631,0.042,0.073,0.021,0.233,4.052349182,greenpoint & williamsburg
Manhattan,"washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809,"washington heights, inwood & marble hill"
Manhattan,central harlem,0.211,26075.0,0.131,0.571,0.032,0.032,0.236,3.242535414,central harlem
Manhattan,east harlem,0.231,19510.0,0.152,0.298,0.075,0.023,0.452,2.84090488,east harlem
Brooklyn,brownsville & ocean hill,0.282,19274.0,0.021,0.742,0.015,0.012,0.211,0.614496873,brownsville & ocean hill
Manhattan,upper east side,0.073,71933.0,0.761,0.028,0.093,0.028,0.09,5.804530594,upper east side
Manhattan,upper west side & west side,0.09,65844.0,0.677,0.06,0.092,0.026,0.144,6.909261698,upper west side & west side
Brooklyn,bay ridge & dyker heights,0.19,30858.0,0.573,0.015,0.24,0.018,0.154,4.235343126,bay ridge & dyker heights
Manhattan,"chelsea, clinton & midtown business district",0.108,65905.0,0.609,0.054,0.162,0.028,0.146,10.0,"chelsea, clinton & midtown business district"
Manhattan,chinatown & lower east side,0.18,25667.0,0.331,0.079,0.311,0.031,0.249,0.0,chinatown & lower east side
Manhattan,"battery park city, greenwich village & soho",0.088,79181.0,0.716,0.022,0.159,0.032,0.07,5.626511329,"battery park city, greenwich village & soho"
Queens,astoria & long island city,0.183,31658.0,0.478,0.063,0.159,0.029,0.272,4.980345913,astoria & long island city
