camis,dba,borough,building,street,zipcode,phone,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,grade_date,record_date,inspection_type,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,location,critical_flag_bin,neighborhood_simple,neighborhoods,nyc_poverty_rate,median_income,perc_white,perc_black,perc_asian,perc_other,perc_hispanic,indexscore
30075445,MORRIS PARK BAKE SHOP,Bronx,1007,MORRIS PARK AVENUE,10462,7188924968,bakery products/desserts,2024-11-08,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A,2024-11-08,2025-11-14,Cycle Inspection / Initial Inspection,40.84823122453,-73.85597188993,211.0,13.0,25200.0,2045445.0,2041270037.0,BX37,POINT (-73.855971889932 40.848231224526),0.0,"riverdale, fieldston & kingsbridge","riverdale, fieldston & kingsbridge",0.152,30437.0,0.324,0.124,0.052,0.023,0.477,5.184720365
40356483,WILKEN'S FINE FOOD,Brooklyn,7114,AVENUE U,11234,7184443838,sandwiches,2025-01-06,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,12.0,A,2025-01-06,2025-11-14,Cycle Inspection / Initial Inspection,40.62011159093,-73.9069894897,318.0,46.0,70000.0,3237693.0,3084310041.0,BK45,POINT (-73.906989489698 40.620111590927),1.0,flatbush & midwood,flatbush & midwood,0.221,25708.0,0.396,0.32,0.105,0.027,0.151,5.797313853
40359480,1 EAST 66TH STREET KITCHEN,Manhattan,1,EAST   66 STREET,10065,2128793900,american,2022-05-03,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,2022-05-03,2025-11-14,Cycle Inspection / Initial Inspection,40.76854691423,-73.96958057845,108.0,4.0,12200.0,1041159.0,1013810001.0,MN40,POINT (-73.969580578452 40.768546914232),1.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40360045,SEUDA FOODS,Brooklyn,705,KINGS HIGHWAY,11223,7183751500,jewish/kosher,2024-07-29,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5.0,A,2024-07-29,2025-11-14,Cycle Inspection / Initial Inspection,40.60618692143,-73.9654664459,315.0,44.0,41800.0,3177501.0,3066640028.0,BK25,POINT (-73.965466445897 40.606186921432),0.0,sunset park & windsor terrace,sunset park & windsor terrace,0.294,20787.0,0.223,0.026,0.324,0.016,0.412,4.802942182
40361618,SAL'S DELI,Queens,12908,20 AVENUE,11356,7186619498,sandwiches,2024-09-16,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12.0,A,2024-09-16,2025-11-14,Cycle Inspection / Initial Inspection,40.78167383607,-73.83941597683,407.0,19.0,90700.0,4099345.0,4041740023.0,QN23,POINT (-73.839415976831 40.781673836068),1.0,jackson heights & north corona,jackson heights & north corona,0.254,22853.0,0.1,0.048,0.169,0.015,0.667,4.75548289
40362869,SHASHEMENE INT'L RESTAURANT,Brooklyn,195,EAST   56 STREET,11203,3474300871,caribbean,2024-10-18,Violations were cited in the following area(s).,10G,"Dishwashing and ware washing:  Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",Not Critical,9.0,A,2024-10-18,2025-11-14,Cycle Inspection / Initial Inspection,40.65198322279,-73.92457494415,317.0,45.0,93800.0,3103101.0,3047040001.0,BK96,POINT (-73.924574944152 40.651983222786),0.0,brownsville & ocean hill,brownsville & ocean hill,0.282,19274.0,0.021,0.742,0.015,0.012,0.211,0.614496873
40363920,NEW GOLDEN BILLION,Brooklyn,976,RUTLAND ROAD,11212,7187357707,chinese,2024-07-03,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,10.0,A,2024-07-03,2025-11-14,Cycle Inspection / Initial Inspection,40.66214059458,-73.92718021322,317.0,41.0,88200.0,3099886.0,3046110006.0,BK96,POINT (-73.92718021322 40.662140594575),0.0,brownsville & ocean hill,brownsville & ocean hill,0.282,19274.0,0.021,0.742,0.015,0.012,0.211,0.614496873
40364347,METROPOLITAN CLUB,Manhattan,1,EAST   60 STREET,10022,2128387400,american,2024-10-29,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,A,2024-10-29,2025-11-14,Cycle Inspection / Initial Inspection,40.76479552185,-73.97230783434,108.0,4.0,11401.0,1081206.0,1013750001.0,MN40,POINT (-73.97230783434 40.764795521845),1.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40364373,ISLE OF CAPRI,Manhattan,1028,3 AVENUE,10065,2127581902,italian,2023-02-06,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,7.0,A,2023-02-06,2025-11-14,Cycle Inspection / Initial Inspection,40.76270773611,-73.96574957601,108.0,4.0,11402.0,1041931.0,1013950040.0,MN40,POINT (-73.965749576014 40.76270773611),1.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
40364572,DONOHUE'S STEAK HOUSE,Manhattan,845,LEXINGTON AVENUE,10065,2127440938,steakhouse,2024-10-23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A,2024-10-23,2025-11-14,Cycle Inspection / Initial Inspection,40.76551288451,-73.965769788,108.0,4.0,12000.0,1042358.0,1013990022.0,MN40,POINT (-73.965769788003 40.765512884509),0.0,"washington heights, inwood & marble hill","washington heights, inwood & marble hill",0.199,20421.0,0.178,0.078,0.027,0.015,0.701,3.373796809
